date,sku,category,unit_price,units_sold,revenue
2025-02-03,Silk Scarf,Accessories,38.00,1,38.00
2025-02-03,Strappy Sandals,Shoes,88.00,1,88.00
2025-02-03,Wide-Brim Straw Hat,Accessories,48.00,1,48.00
2025-02-04,Canvas Tote,Accessories,44.00,1,44.00
2025-02-04,Cotton Tee - Cream,Tops,28.00,4,112.00
2025-02-04,Gold Hoop Earrings,Accessories,32.00,2,64.00
2025-02-04,Leather Crossbody Bag,Accessories,134.00,1,134.00
2025-02-04,Linen Shorts,Bottoms,52.00,1,52.00
2025-02-04,Silk Scarf,Accessories,38.00,1,38.00
2025-02-05,Canvas Tote,Accessories,44.00,2,88.00
2025-02-05,Cotton Tee - Cream,Tops,28.00,3,84.00
2025-02-05,Gold Hoop Earrings,Accessories,32.00,2,64.00
2025-02-05,Leather Crossbody Bag,Accessories,134.00,1,134.00
2025-02-05,Linen Blouse - Black,Tops,58.00,1,58.00
2025-02-05,Linen Blouse - White,Tops,58.00,1,58.00
2025-02-05,Linen Shorts,Bottoms,52.00,2,104.00
2025-02-05,Midi Skirt - Floral,Bottoms,74.00,1,74.00
2025-02-05,Silk Scarf,Accessories,38.00,1,38.00
2025-02-05,Strappy Sandals,Shoes,88.00,1,88.00
2025-02-05,White Sneakers,Shoes,128.00,1,128.00
2025-02-05,Wide-Brim Straw Hat,Accessories,48.00,1,48.00
2025-02-06,Canvas Tote,Accessories,44.00,5,220.00
2025-02-06,Cotton Tee - Cream,Tops,28.00,4,112.00
2025-02-06,Gold Hoop Earrings,Accessories,32.00,3,96.00
2025-02-06,Leather Crossbody Bag,Accessories,134.00,2,268.00
2025-02-06,Linen Blouse - Black,Tops,58.00,1,58.00
2025-02-06,Linen Blouse - White,Tops,58.00,2,116.00
2025-02-06,Linen Shorts,Bottoms,52.00,5,260.00
2025-02-06,Midi Skirt - Floral,Bottoms,74.00,2,148.00
2025-02-06,Pearl Necklace,Accessories,78.00,1,78.00
2025-02-06,Silk Scarf,Accessories,38.00,2,76.00
2025-02-06,Slip Dress - Black,Dresses,124.00,1,124.00
2025-02-06,Strappy Sandals,Shoes,88.00,3,264.00
2025-02-06,White Sneakers,Shoes,128.00,2,256.00
2025-02-06,Wide-Brim Straw Hat,Accessories,48.00,2,96.00
2025-02-06,Wide-Leg Trousers,Bottoms,98.00,2,196.00
2025-02-07,Canvas Tote,Accessories,44.00,3,132.00
2025-02-07,Cotton Tee - Cream,Tops,28.00,8,224.00
2025-02-07,Floral Maxi Dress,Dresses,142.00,1,142.00
2025-02-07,Gold Hoop Earrings,Accessories,32.00,2,64.00
2025-02-07,High-Waist Jeans,Bottoms,118.00,1,118.00
2025-02-07,Leather Crossbody Bag,Accessories,134.00,2,268.00
2025-02-07,Linen Blouse - Black,Tops,58.00,2,116.00
2025-02-07,Linen Blouse - White,Tops,58.00,2,116.00
2025-02-07,Linen Shorts,Bottoms,52.00,5,260.00
2025-02-07,Midi Skirt - Floral,Bottoms,74.00,3,222.00
2025-02-07,Silk Scarf,Accessories,38.00,1,38.00
2025-02-07,Strappy Sandals,Shoes,88.00,2,176.00
2025-02-07,White Sneakers,Shoes,128.00,3,384.00
2025-02-07,Wide-Brim Straw Hat,Accessories,48.00,3,144.00
2025-02-07,Wide-Leg Trousers,Bottoms,98.00,1,98.00
2025-02-08,Canvas Tote,Accessories,44.00,5,220.00
2025-02-08,Cotton Tee - Cream,Tops,28.00,8,224.00
2025-02-08,Floral Maxi Dress,Dresses,142.00,8,1136.00
2025-02-08,Gold Hoop Earrings,Accessories,32.00,4,128.00
2025-02-08,High-Waist Jeans,Bottoms,118.00,7,826.00
2025-02-08,Leather Crossbody Bag,Accessories,134.00,3,402.00
2025-02-08,Linen Blouse - Black,Tops,58.00,8,464.00
2025-02-08,Linen Blouse - White,Tops,58.00,8,464.00
2025-02-08,Linen Shorts,Bottoms,52.00,6,312.00
2025-02-08,Midi Skirt - Floral,Bottoms,74.00,2,148.00
2025-02-08,Pearl Necklace,Accessories,78.00,1,78.00
2025-02-08,Silk Scarf,Accessories,38.00,5,190.00
2025-02-08,Slip Dress - Black,Dresses,124.00,5,620.00
2025-02-08,Strappy Sandals,Shoes,88.00,2,176.00
2025-02-08,Trench Coat,Outerwear,220.00,1,220.00
2025-02-08,Vintage Denim Jacket,Outerwear,145.00,2,290.00
2025-02-08,White Sneakers,Shoes,128.00,3,384.00
2025-02-08,Wide-Brim Straw Hat,Accessories,48.00,5,240.00
2025-02-08,Wide-Leg Trousers,Bottoms,98.00,2,196.00
2025-02-08,Wool Coat - Camel,Outerwear,285.00,1,285.00
2025-02-08,Wrap Sweater - Navy,Tops,96.00,1,96.00
2025-02-09,Canvas Tote,Accessories,44.00,7,308.00
2025-02-09,Cocktail Dress,Dresses,168.00,1,168.00
2025-02-09,Cotton Tee - Cream,Tops,28.00,6,168.00
2025-02-09,Floral Maxi Dress,Dresses,142.00,3,426.00
2025-02-09,Gold Hoop Earrings,Accessories,32.00,3,96.00
2025-02-09,High-Waist Jeans,Bottoms,118.00,6,708.00
2025-02-09,Leather Crossbody Bag,Accessories,134.00,4,536.00
2025-02-09,Linen Blouse - Black,Tops,58.00,5,290.00
2025-02-09,Linen Blouse - White,Tops,58.00,8,464.00
2025-02-09,Linen Shorts,Bottoms,52.00,4,208.00
2025-02-09,Midi Skirt - Floral,Bottoms,74.00,2,148.00
2025-02-09,Pearl Necklace,Accessories,78.00,1,78.00
2025-02-09,Silk Scarf,Accessories,38.00,4,152.00
2025-02-09,Slip Dress - Black,Dresses,124.00,3,372.00
2025-02-09,Strappy Sandals,Shoes,88.00,3,264.00
2025-02-09,Vintage Denim Jacket,Outerwear,145.00,2,290.00
2025-02-09,White Sneakers,Shoes,128.00,4,512.00
2025-02-09,Wide-Brim Straw Hat,Accessories,48.00,2,96.00
2025-02-09,Wide-Leg Trousers,Bottoms,98.00,2,196.00
2025-02-09,Wool Coat - Camel,Outerwear,285.00,1,285.00
2025-02-09,Wrap Sweater - Navy,Tops,96.00,1,96.00
2025-02-10,Canvas Tote,Accessories,44.00,1,44.00
2025-02-10,Cotton Tee - Cream,Tops,28.00,5,140.00
2025-02-10,Gold Hoop Earrings,Accessories,32.00,3,96.00
2025-02-10,Leather Crossbody Bag,Accessories,134.00,1,134.00
2025-02-10,Linen Blouse - Black,Tops,58.00,1,58.00
2025-02-10,Linen Blouse - White,Tops,58.00,1,58.00
2025-02-10,Linen Shorts,Bottoms,52.00,2,104.00
2025-02-10,Midi Skirt - Floral,Bottoms,74.00,1,74.00
2025-02-10,Pearl Necklace,Accessories,78.00,1,78.00
2025-02-10,Silk Scarf,Accessories,38.00,1,38.00
2025-02-10,Strappy Sandals,Shoes,88.00,1,88.00
2025-02-10,White Sneakers,Shoes,128.00,1,128.00
2025-02-10,Wide-Brim Straw Hat,Accessories,48.00,2,96.00
2025-02-10,Wide-Leg Trousers,Bottoms,98.00,1,98.00
2025-02-11,Canvas Tote,Accessories,44.00,1,44.00
2025-02-11,Cotton Tee - Cream,Tops,28.00,2,56.00
2025-02-11,Gold Hoop Earrings,Accessories,32.00,1,32.00
2025-02-11,Leather Crossbody Bag,Accessories,134.00,1,134.00
2025-02-11,Linen Blouse - Black,Tops,58.00,1,58.00
2025-02-11,Linen Blouse - White,Tops,58.00,1,58.00
2025-02-11,Linen Shorts,Bottoms,52.00,2,104.00
2025-02-11,Midi Skirt - Floral,Bottoms,74.00,1,74.00
2025-02-11,Silk Scarf,Accessories,38.00,1,38.00
2025-02-11,White Sneakers,Shoes,128.00,1,128.00
2025-02-11,Wide-Brim Straw Hat,Accessories,48.00,1,48.00
2025-02-12,Canvas Tote,Accessories,44.00,3,132.00
2025-02-12,Cotton Tee - Cream,Tops,28.00,7,196.00
2025-02-12,Floral Maxi Dress,Dresses,142.00,1,142.00
2025-02-12,Gold Hoop Earrings,Accessories,32.00,3,96.00
2025-02-12,High-Waist Jeans,Bottoms,118.00,1,118.00
2025-02-12,Leather Crossbody Bag,Accessories,134.00,1,134.00
2025-02-12,Linen Blouse - Black,Tops,58.00,1,58.00
2025-02-12,Linen Blouse - White,Tops,58.00,1,58.00
2025-02-12,Linen Shorts,Bottoms,52.00,3,156.00
2025-02-12,Midi Skirt - Floral,Bottoms,74.00,2,148.00
2025-02-12,Silk Scarf,Accessories,38.00,2,76.00
2025-02-12,Strappy Sandals,Shoes,88.00,2,176.00
2025-02-12,White Sneakers,Shoes,128.00,2,256.00
2025-02-12,Wide-Brim Straw Hat,Accessories,48.00,2,96.00
2025-02-13,Canvas Tote,Accessories,44.00,6,264.00
2025-02-13,Cotton Tee - Cream,Tops,28.00,7,196.00
2025-02-13,Floral Maxi Dress,Dresses,142.00,1,142.00
2025-02-13,Gold Hoop Earrings,Accessories,32.00,3,96.00
2025-02-13,High-Waist Jeans,Bottoms,118.00,1,118.00
2025-02-13,Leather Crossbody Bag,Accessories,134.00,2,268.00
2025-02-13,Linen Blouse - Black,Tops,58.00,1,58.00
2025-02-13,Linen Blouse - White,Tops,58.00,2,116.00
2025-02-13,Linen Shorts,Bottoms,52.00,3,156.00
2025-02-13,Midi Skirt - Floral,Bottoms,74.00,2,148.00
2025-02-13,Pearl Necklace,Accessories,78.00,1,78.00
2025-02-13,Silk Scarf,Accessories,38.00,1,38.00
2025-02-13,Slip Dress - Black,Dresses,124.00,1,124.00
2025-02-13,Strappy Sandals,Shoes,88.00,3,264.00
2025-02-13,White Sneakers,Shoes,128.00,2,256.00
2025-02-13,Wide-Brim Straw Hat,Accessories,48.00,2,96.00
2025-02-13,Wide-Leg Trousers,Bottoms,98.00,1,98.00
2025-02-14,Canvas Tote,Accessories,44.00,4,176.00
2025-02-14,Cotton Tee - Cream,Tops,28.00,6,168.00
2025-02-14,Floral Maxi Dress,Dresses,142.00,1,142.00
2025-02-14,Gold Hoop Earrings,Accessories,32.00,1,32.00
2025-02-14,High-Waist Jeans,Bottoms,118.00,1,118.00
2025-02-14,Leather Crossbody Bag,Accessories,134.00,1,134.00
2025-02-14,Linen Blouse - Black,Tops,58.00,1,58.00
2025-02-14,Linen Blouse - White,Tops,58.00,2,116.00
2025-02-14,Linen Shorts,Bottoms,52.00,1,52.00
2025-02-14,Midi Skirt - Floral,Bottoms,74.00,1,74.00
2025-02-14,Silk Scarf,Accessories,38.00,1,38.00
2025-02-14,Strappy Sandals,Shoes,88.00,1,88.00
2025-02-14,White Sneakers,Shoes,128.00,2,256.00
2025-02-14,Wide-Brim Straw Hat,Accessories,48.00,2,96.00
2025-02-14,Wrap Sweater - Sage,Tops,96.00,1,96.00
2025-02-15,Canvas Tote,Accessories,44.00,1,44.00
2025-02-15,Cocktail Dress,Dresses,168.00,1,168.00
2025-02-15,Cotton Tee - Cream,Tops,28.00,4,112.00
2025-02-15,Floral Maxi Dress,Dresses,142.00,3,426.00
2025-02-15,Gold Hoop Earrings,Accessories,32.00,3,96.00
2025-02-15,High-Waist Jeans,Bottoms,118.00,4,472.00
2025-02-15,Leather Crossbody Bag,Accessories,134.00,2,268.00
2025-02-15,Linen Blouse - Black,Tops,58.00,6,348.00
2025-02-15,Linen Blouse - White,Tops,58.00,6,348.00
2025-02-15,Linen Shorts,Bottoms,52.00,4,208.00
2025-02-15,Midi Skirt - Floral,Bottoms,74.00,1,74.00
2025-02-15,Silk Scarf,Accessories,38.00,1,38.00
2025-02-15,Slip Dress - Black,Dresses,124.00,2,248.00
2025-02-15,Strappy Sandals,Shoes,88.00,1,88.00
2025-02-15,Vintage Denim Jacket,Outerwear,145.00,1,145.00
2025-02-15,White Sneakers,Shoes,128.00,1,128.00
2025-02-15,Wide-Brim Straw Hat,Accessories,48.00,1,48.00
2025-02-16,Canvas Tote,Accessories,44.00,3,132.00
2025-02-16,Cocktail Dress,Dresses,168.00,1,168.00
2025-02-16,Cotton Tee - Cream,Tops,28.00,8,224.00
2025-02-16,Floral Maxi Dress,Dresses,142.00,6,852.00
2025-02-16,Gold Hoop Earrings,Accessories,32.00,3,96.00
2025-02-16,High-Waist Jeans,Bottoms,118.00,4,472.00
2025-02-16,Leather Crossbody Bag,Accessories,134.00,2,268.00
2025-02-16,Leather Loafers - Black,Shoes,168.00,1,168.00
2025-02-16,Linen Blouse - Black,Tops,58.00,7,406.00
2025-02-16,Linen Blouse - White,Tops,58.00,8,464.00
2025-02-16,Linen Shorts,Bottoms,52.00,3,156.00
2025-02-16,Midi Skirt - Floral,Bottoms,74.00,2,148.00
2025-02-16,Silk Scarf,Accessories,38.00,2,76.00
2025-02-16,Slip Dress - Black,Dresses,124.00,2,248.00
2025-02-16,Strappy Sandals,Shoes,88.00,2,176.00
2025-02-16,Vintage Denim Jacket,Outerwear,145.00,1,145.00
2025-02-16,White Sneakers,Shoes,128.00,1,128.00
2025-02-16,Wide-Brim Straw Hat,Accessories,48.00,1,48.00
2025-02-16,Wide-Leg Trousers,Bottoms,98.00,1,98.00
2025-02-16,Wool Coat - Camel,Outerwear,285.00,1,285.00
2025-02-16,Wrap Sweater - Sage,Tops,96.00,1,96.00
2025-02-17,Canvas Tote,Accessories,44.00,1,44.00
2025-02-17,Cotton Tee - Cream,Tops,28.00,3,84.00
2025-02-17,Gold Hoop Earrings,Accessories,32.00,1,32.00
2025-02-17,Leather Crossbody Bag,Accessories,134.00,1,134.00
2025-02-17,Linen Blouse - White,Tops,58.00,1,58.00
2025-02-17,Linen Shorts,Bottoms,52.00,2,104.00
2025-02-17,Strappy Sandals,Shoes,88.00,1,88.00
2025-02-18,Canvas Tote,Accessories,44.00,4,176.00
2025-02-18,Cotton Tee - Cream,Tops,28.00,4,112.00
2025-02-18,Floral Maxi Dress,Dresses,142.00,1,142.00
2025-02-18,Gold Hoop Earrings,Accessories,32.00,2,64.00
2025-02-18,High-Waist Jeans,Bottoms,118.00,1,118.00
2025-02-18,Leather Crossbody Bag,Accessories,134.00,1,134.00
2025-02-18,Linen Blouse - Black,Tops,58.00,1,58.00
2025-02-18,Linen Blouse - White,Tops,58.00,1,58.00
2025-02-18,Linen Shorts,Bottoms,52.00,1,52.00
2025-02-18,Midi Skirt - Floral,Bottoms,74.00,1,74.00
2025-02-18,Pearl Necklace,Accessories,78.00,1,78.00
2025-02-18,Silk Scarf,Accessories,38.00,2,76.00
2025-02-18,Slip Dress - Black,Dresses,124.00,1,124.00
2025-02-18,Strappy Sandals,Shoes,88.00,1,88.00
2025-02-18,White Sneakers,Shoes,128.00,2,256.00
2025-02-18,Wide-Brim Straw Hat,Accessories,48.00,1,48.00
2025-02-18,Wide-Leg Trousers,Bottoms,98.00,1,98.00
2025-02-18,Wrap Sweater - Navy,Tops,96.00,1,96.00
2025-02-19,Canvas Tote,Accessories,44.00,2,88.00
2025-02-19,Cotton Tee - Cream,Tops,28.00,3,84.00
2025-02-19,Gold Hoop Earrings,Accessories,32.00,1,32.00
2025-02-19,Leather Crossbody Bag,Accessories,134.00,1,134.00
2025-02-19,Linen Blouse - White,Tops,58.00,1,58.00
2025-02-19,Midi Skirt - Floral,Bottoms,74.00,1,74.00
2025-02-19,Silk Scarf,Accessories,38.00,1,38.00
2025-02-20,Canvas Tote,Accessories,44.00,4,176.00
2025-02-20,Cotton Tee - Cream,Tops,28.00,4,112.00
2025-02-20,Gold Hoop Earrings,Accessories,32.00,1,32.00
2025-02-20,Leather Crossbody Bag,Accessories,134.00,1,134.00
2025-02-20,Linen Blouse - Black,Tops,58.00,1,58.00
2025-02-20,Linen Blouse - White,Tops,58.00,1,58.00
2025-02-20,Linen Shorts,Bottoms,52.00,2,104.00
2025-02-20,Midi Skirt - Floral,Bottoms,74.00,1,74.00
2025-02-20,Pearl Necklace,Accessories,78.00,1,78.00
2025-02-20,Strappy Sandals,Shoes,88.00,1,88.00
2025-02-20,White Sneakers,Shoes,128.00,1,128.00
2025-02-20,Wide-Brim Straw Hat,Accessories,48.00,2,96.00
2025-02-21,Canvas Tote,Accessories,44.00,2,88.00
2025-02-21,Cotton Tee - Cream,Tops,28.00,3,84.00
2025-02-21,Gold Hoop Earrings,Accessories,32.00,1,32.00
2025-02-21,Linen Blouse - White,Tops,58.00,1,58.00
2025-02-21,Linen Shorts,Bottoms,52.00,2,104.00
2025-02-21,Midi Skirt - Floral,Bottoms,74.00,1,74.00
2025-02-21,Silk Scarf,Accessories,38.00,1,38.00
2025-02-21,Strappy Sandals,Shoes,88.00,1,88.00
2025-02-21,White Sneakers,Shoes,128.00,1,128.00
2025-02-22,Canvas Tote,Accessories,44.00,2,88.00
2025-02-22,Cotton Tee - Cream,Tops,28.00,3,84.00
2025-02-22,Floral Maxi Dress,Dresses,142.00,3,426.00
2025-02-22,Gold Hoop Earrings,Accessories,32.00,3,96.00
2025-02-22,High-Waist Jeans,Bottoms,118.00,4,472.00
2025-02-22,Leather Crossbody Bag,Accessories,134.00,2,268.00
2025-02-22,Linen Blouse - Black,Tops,58.00,4,232.00
2025-02-22,Linen Blouse - White,Tops,58.00,6,348.00
2025-02-22,Linen Shorts,Bottoms,52.00,2,104.00
2025-02-22,Midi Skirt - Floral,Bottoms,74.00,1,74.00
2025-02-22,Silk Scarf,Accessories,38.00,2,76.00
2025-02-22,Slip Dress - Black,Dresses,124.00,3,372.00
2025-02-22,Strappy Sandals,Shoes,88.00,1,88.00
2025-02-22,Vintage Denim Jacket,Outerwear,145.00,1,145.00
2025-02-22,White Sneakers,Shoes,128.00,2,256.00
2025-02-22,Wide-Brim Straw Hat,Accessories,48.00,3,144.00
2025-02-22,Wide-Leg Trousers,Bottoms,98.00,1,98.00
2025-02-22,Wrap Sweater - Navy,Tops,96.00,1,96.00
2025-02-22,Wrap Sweater - Sage,Tops,96.00,1,96.00
2025-02-23,Canvas Tote,Accessories,44.00,4,176.00
2025-02-23,Cocktail Dress,Dresses,168.00,1,168.00
2025-02-23,Cotton Tee - Cream,Tops,28.00,9,252.00
2025-02-23,Floral Maxi Dress,Dresses,142.00,5,710.00
2025-02-23,Gold Hoop Earrings,Accessories,32.00,3,96.00
2025-02-23,High-Waist Jeans,Bottoms,118.00,3,354.00
2025-02-23,Leather Crossbody Bag,Accessories,134.00,2,268.00
2025-02-23,Leather Loafers - Black,Shoes,168.00,1,168.00
2025-02-23,Linen Blouse - Black,Tops,58.00,6,348.00
2025-02-23,Linen Blouse - White,Tops,58.00,7,406.00
2025-02-23,Linen Shorts,Bottoms,52.00,3,156.00
2025-02-23,Midi Skirt - Floral,Bottoms,74.00,1,74.00
2025-02-23,Pearl Necklace,Accessories,78.00,1,78.00
2025-02-23,Silk Scarf,Accessories,38.00,1,38.00
2025-02-23,Slip Dress - Black,Dresses,124.00,5,620.00
2025-02-23,Strappy Sandals,Shoes,88.00,2,176.00
2025-02-23,Trench Coat,Outerwear,220.00,1,220.00
2025-02-23,Vintage Denim Jacket,Outerwear,145.00,2,290.00
2025-02-23,White Sneakers,Shoes,128.00,1,128.00
2025-02-23,Wide-Brim Straw Hat,Accessories,48.00,2,96.00
2025-02-23,Wide-Leg Trousers,Bottoms,98.00,3,294.00
2025-02-23,Wool Coat - Camel,Outerwear,285.00,1,285.00
2025-02-23,Wrap Sweater - Navy,Tops,96.00,1,96.00
2025-02-23,Wrap Sweater - Sage,Tops,96.00,1,96.00
2025-02-24,Canvas Tote,Accessories,44.00,2,88.00
2025-02-24,Cotton Tee - Cream,Tops,28.00,1,28.00
2025-02-24,Gold Hoop Earrings,Accessories,32.00,1,32.00
2025-02-24,Linen Blouse - White,Tops,58.00,1,58.00
2025-02-24,Linen Shorts,Bottoms,52.00,1,52.00
2025-02-24,Silk Scarf,Accessories,38.00,1,38.00
2025-02-24,White Sneakers,Shoes,128.00,1,128.00
2025-02-25,Canvas Tote,Accessories,44.00,3,132.00
2025-02-25,Cotton Tee - Cream,Tops,28.00,2,56.00
2025-02-25,Gold Hoop Earrings,Accessories,32.00,2,64.00
2025-02-25,High-Waist Jeans,Bottoms,118.00,1,118.00
2025-02-25,Linen Blouse - White,Tops,58.00,1,58.00
2025-02-25,Linen Shorts,Bottoms,52.00,1,52.00
2025-02-25,Wide-Brim Straw Hat,Accessories,48.00,1,48.00
2025-02-26,Canvas Tote,Accessories,44.00,3,132.00
2025-02-26,Cotton Tee - Cream,Tops,28.00,3,84.00
2025-02-26,Floral Maxi Dress,Dresses,142.00,1,142.00
2025-02-26,Gold Hoop Earrings,Accessories,32.00,2,64.00
2025-02-26,High-Waist Jeans,Bottoms,118.00,1,118.00
2025-02-26,Leather Crossbody Bag,Accessories,134.00,1,134.00
2025-02-26,Linen Blouse - Black,Tops,58.00,1,58.00
2025-02-26,Linen Blouse - White,Tops,58.00,1,58.00
2025-02-26,Linen Shorts,Bottoms,52.00,2,104.00
2025-02-26,Midi Skirt - Floral,Bottoms,74.00,1,74.00
2025-02-26,Pearl Necklace,Accessories,78.00,1,78.00
2025-02-26,Silk Scarf,Accessories,38.00,1,38.00
2025-02-26,Strappy Sandals,Shoes,88.00,1,88.00
2025-02-26,White Sneakers,Shoes,128.00,1,128.00
2025-02-26,Wide-Leg Trousers,Bottoms,98.00,1,98.00
2025-02-27,Canvas Tote,Accessories,44.00,1,44.00
2025-02-27,Cotton Tee - Cream,Tops,28.00,2,56.00
2025-02-27,Gold Hoop Earrings,Accessories,32.00,2,64.00
2025-02-27,Leather Crossbody Bag,Accessories,134.00,1,134.00
2025-02-27,Linen Blouse - Black,Tops,58.00,1,58.00
2025-02-27,Linen Shorts,Bottoms,52.00,2,104.00
2025-02-27,Silk Scarf,Accessories,38.00,1,38.00
2025-02-27,Strappy Sandals,Shoes,88.00,1,88.00
2025-02-27,White Sneakers,Shoes,128.00,1,128.00
2025-02-28,Canvas Tote,Accessories,44.00,3,132.00
2025-02-28,Cotton Tee - Cream,Tops,28.00,4,112.00
2025-02-28,Gold Hoop Earrings,Accessories,32.00,1,32.00
2025-02-28,Linen Blouse - Black,Tops,58.00,1,58.00
2025-02-28,Linen Shorts,Bottoms,52.00,2,104.00
2025-02-28,Midi Skirt - Floral,Bottoms,74.00,1,74.00
2025-02-28,Strappy Sandals,Shoes,88.00,1,88.00
2025-02-28,White Sneakers,Shoes,128.00,1,128.00
2025-02-28,Wide-Brim Straw Hat,Accessories,48.00,1,48.00
2025-02-28,Wrap Sweater - Sage,Tops,96.00,1,96.00
2025-03-01,Canvas Tote,Accessories,44.00,3,132.00
2025-03-01,Cocktail Dress,Dresses,168.00,1,168.00
2025-03-01,Cotton Tee - Cream,Tops,28.00,10,280.00
2025-03-01,Floral Maxi Dress,Dresses,142.00,4,568.00
2025-03-01,Gold Hoop Earrings,Accessories,32.00,2,64.00
2025-03-01,High-Waist Jeans,Bottoms,118.00,6,708.00
2025-03-01,Leather Crossbody Bag,Accessories,134.00,2,268.00
2025-03-01,Linen Blouse - Black,Tops,58.00,6,348.00
2025-03-01,Linen Blouse - White,Tops,58.00,10,580.00
2025-03-01,Linen Shorts,Bottoms,52.00,3,156.00
2025-03-01,Midi Skirt - Floral,Bottoms,74.00,2,148.00
2025-03-01,Silk Scarf,Accessories,38.00,2,76.00
2025-03-01,Slip Dress - Black,Dresses,124.00,3,372.00
2025-03-01,Strappy Sandals,Shoes,88.00,2,176.00
2025-03-01,Trench Coat,Outerwear,220.00,1,220.00
2025-03-01,Vintage Denim Jacket,Outerwear,145.00,1,145.00
2025-03-01,White Sneakers,Shoes,128.00,3,384.00
2025-03-01,Wide-Brim Straw Hat,Accessories,48.00,1,48.00
2025-03-01,Wrap Sweater - Navy,Tops,96.00,1,96.00
2025-03-01,Wrap Sweater - Sage,Tops,96.00,1,96.00
